id,keyword,location,text,target,preprocessed_text
30,ablaze,no_location,"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze. #I…",1,marivan kurdistan province monday jan  protester set propaganda banner qassemsoleimani ablaze  i 
31,ablaze,"Washington, DC","Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK",1,marivan kurdistan province monday jan  protester set propaganda banner qassemsoleimani ablaze 
32,ablaze,India,How can you turn a blind eye to the icident of setting ablaze more than 50 houses of H… https://t.co/UD84oQxg9K,1,turn blind eye icident setting ablaze house h 
33,ablaze,"Salta, Argentina","This love is so completely crazy. You've been fucking with my dreams, ripped me like your torn up jeans. I don't ev… https://t.co/GCVYW5eZkb",0,love completely crazy fucking dreams ripped like torn jeans ev 
34,accident,Wherever socks go in the dryer,Terms in A Demon Burning Dark: The Ruined: People who cannot use magic or interact with it without some harm or ac… https://t.co/ZEDawOfuu4,0,term demon burning dark ruined people cannot use magic interact without harm ac 
35,accident,Kuala Lumpur,"📷 Heartfelt appreciation to Prime Minister YAB Tun Dr. wife, YABhg. Tun Dr. Siti Hasmah Mohd Ali fo… https://t.co/YOwUp1BYUP",0,heartfelt appreciation prime minister yab tun dr wife yabhg tun dr siti hasmah mohd ali fo 
36,accident,no_location,"#WATCH Former CM Akhilesh Yadav who went to meet injured of Kannauj accident, at a hospital in Chhibramau asks Emergency Med…",1, watch former cm akhilesh yadav went meet injured kannauj accident hospital chhibramau asks emergency med 
37,accident,"Sydney, New South Wales",❤️❤️❤️ he gave us everything... He had a horrible foot infection once so wore one thong… https://t.co/mA9sFl6Shw,0,gave u everything  horrible foot infection wore one thong 
38,accident,Nigeria,"😁yeah! His new swag is on point 100%, since the accident! Like this is a totally transformed Bob…",0,yeah new swag point  since accident like totally transformed bob 
39,accident,"Davanagere, India ","This is cool and all these days I have been doing ""git push origin CURRENT_BRANCH_NAME"". You know that… https://t.co/mr0YAGEWqj",0,cool day git push origin current_branch_name  know that 
40,accident,"Lyndhurst, OH",#Preorder #newrelease today! 12 witnesses connected to or investigating #THENUTCRACKERCONSPIRACY have died either in a…,1, preorder newrelease today witness connected investigating thenutcrackerconspiracy died either a 
41,accident,"Covina, Ca",my back and neck are still fucked up from the accident 😡😡😭😭,0,back neck still fucked accident
42,accident,"Colorado, Brighton",RT! Prince Harry just confirmed that his mother’s (Princess Diana) death was not an accident! https://t.co/1ADe3uZ3eR,1,rt prince harry confirmed mother s princess diana death accident 
43,accident,no_location,Note to Democrats: It’s not a Muslim ban. Islam is not a race. Soleimani was a terrorist &amp; was exterminated not assas…,0,note democrats it s muslim ban islam race soleimani terrorist amp exterminated assas 
44,accident,"North Carolina, USA",Juwan Johnson/Oregon is one big dude. Looks like a tight end stuck in the receiver group by accident.,0,juwan johnson oregon one big dude look like tight end stuck receiver group accident 
45,accident,kurger bing,More appearances of the man with the upside-down face. A New Year’s Eve party at an Air Force base in 1943 where a man…,0,appearance man upside down face new year s eve party air force base man 
46,accident,"Faridabad, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Kavu in Thum…",1,speeding car rammed group people returning attending temple festival ayyappan kavu thum 
47,accident,60,My friend (an army) just lost her father in an accident and her mom right now is still unconscious. Please pray for her mo…,1,friend an army lost father accident mom right still unconscious please pray mo 
48,accident,ngovhela Mahunguni,MLINDO THE VOCALIST IN ANOTHER CAR ACCIDENT https://t.co/BXR9rEgAk6,1,mlindo vocalist another car accident
49,accident,no_location,"“There are no greater treasures than the highest human qualities such as compassion, courage and hope. Not even tragic accide…",0, there greater treasure highest human quality compassion courage hope even tragic accide 
50,accident,Germany,Please help our friends in - they have had a non fault accident that's resulted in their vehicle being writte…,0,please help friend  non fault accident that s resulted vehicle writte 
51,accident,"South Beach, FL",When you hurt your younger sibling by “accident” https://t.co/DAMTEoQtZU,0,hurt younger sibling accident 
52,accident,"London, United Kingdom",David Cameron’s decision to hold a referendum expressed in the medium of a road traffic accident. https://t.co/XATYHFtXoa,1,david cameron s decision hold referendum expressed medium road traffic accident 
53,accident,"Phoenix, AZ 85017",An auto accident injury can set a process in motion that can get complicated. Find out how long it takes to settle… https://t.co/GQp5tv03dF,1,auto accident injury set process motion get complicated find long take settle 
54,accident,"England, UK ",no one has the right to call a baby an accident. jd himself called it a blessing. he used the loveliest word to describe what…,0,one right call baby accident jd called blessing used loveliest word describe what 
55,accident,"Melbourne, Australia",I actually posted this by accident to twitter but have decided this can stay,0,actually posted accident twitter decided stay
56,accident,"Pearland, TX",Question: let’s say you are happily married and your husband dies in a tragic accident. You are deveststed but this pussy not…,0,question let s say happily married husband dy tragic accident deveststed pussy not 
57,accident,Africa,The Kampala Metropolitan East has in custody two suspects who allegedly strangled to death a passenger… https://t.co/9v77Vm51vw,1,kampala metropolitan east custody two suspect allegedly strangled death passenger 
58,accident,"California, USA","In completely available public information , the fires were mostly started by humans on purpose or on accident with th…",0,completely available public information  fire mostly started human purpose accident th 
59,accident,no_location,During my PhD there was a colleague who went out of her way to bully and cause work discomfort for me. I… https://t.co/G3hivXZo8T,0,phd colleague went way bully cause work discomfort me i 
60,accident,"Kerala, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA",1,speeding car rammed group people returning attending temple festival ayyappan ka 
61,accident,"Staffordshire,England","6yr old Bella needs a new home due to an incident that was an accident, she can live with older kids and in the right ho…",0,old bella need new home due incident accident live older kid right ho 
62,accident,no_location,"👀Look at this shit,😠she need her little ass whooped before she hit somebody by accident. #lecheminduroi #bransoncognac #starzge…",0,look shit she need little as whooped hit somebody accident  lecheminduroi bransoncognac starzge 
63,accident,"Port Harcourt, Nigeria",You're not an accident on the earth. You're God's divinely crafted masterpiece. He designed you with a destiny in v… https://t.co/KfC7Tpwuj6,0,accident earth god s divinely crafted masterpiece designed destiny v 
64,accident,no_location,Iran Says That They Shot Down Ukraine International Flight 172 By Accident. Here is an Picture of that Aircraft in… https://t.co/COdnYq77uZ,1,iran say shot ukraine international flight accident picture aircraft in 
65,accident,Everywhere,Saw this truck with the container almost falling off this morning. Reported…,1,saw truck container almost falling morning reported 
66,accident,"Ann Arbor, MI",Judge less smile more. It isn’t the oldest profession by accident lol,0,judge le smile more isn t oldest profession accident lol
67,aftershock,Global,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me,1,puerto rico hit another  magnitude aftershock  kyma
68,aftershock,"Puerto Rico, USA",3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf,1, aftershock  am asleep movement bed woke up scary wish weren t 
69,aftershock,In the mind of haters.,"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…",1,good night friends per usgs new  quake morning caused day aftershock forecast change 
70,aftershock,Czech Republic,Yea it wasnt that long she killed me in like 6 or 7 seconds but not sure would have to… https://t.co/pexyxYJoFM,0,yea wasnt long killed like second sure would to 
71,aftershock,USA,Honored to have an essay in #AfterShock Marking the 50th anniversary of Alvin Toffler’s Future Shock Compendium of essays in t…,0,honored essay aftershock marking anniversary alvin toffler s future shock compendium essay t 
72,aftershock,no_location,TICKETS ON SALE!!!!!!!!!! - Aftershock https://t.co/kQHMzbgmvk #nowplaying #k4hdradio,0,ticket sale       aftershock nowplaying 
73,aftershock,"Bay Area, CA",Come with us to Aftershock!,0,come u aftershock 
74,aftershock,"Great Southwest, U.S.A.",o_O ! I think I felt your aftershock,0,o_o  think felt aftershock
75,aftershock,"Katowice, Poland",A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,1,quick comparison ongoing  puerto rico earthquake sequence  central california sequenc 
76,aftershock,no_location,"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…",1,puerto ricans refusing go home aside  aftershock now ground southwest puerto rico has 
77,aftershock,Toronto,2010 - Inception. The Social Network. Easy A. Black Swan. Toy Story 3. The Kids are All Right. Aftershock.,0, inception social network easy a black swan toy story  kid right aftershock 
78,aftershock,Texas,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,1,puerto rico hit another  magnitude aftershock  kyma
79,aftershock,são paulo -sp,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/wW3CdsvDV2,1,puerto rico hit another  magnitude aftershock  kyma
80,aftershock,"  Philippines ,From America",A other Hard hit https://t.co/x3e2mf6DKo,0,hard hit
81,aftershock,Islamabad,"Musharaf verdict was just mild aftershock of extension, one should not worry what comes after extention.",0,musharaf verdict mild aftershock extension one worry come extention 
82,aftershock,"Flatbush, Brooklyn",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn,1,puerto rico hit another  magnitude aftershock  kyma
83,aftershock,"Surabaya, Indonesia",Kumera yellow Aftershock #PH19FOSSIL featured in bankbtn Good Living magazine Photography Stylist shino… https://t.co/V9LJ65ttzR,0,kumera yellow aftershock  featured bankbtn good living magazine photography stylist shino 
84,aftershock,no_location,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/MMxXzwBpaF,1,puerto rico hit another  magnitude aftershock  kyma
85,aftershock,NYC,Please pray for #PuertoRico!!!!! https://t.co/uWqP2yNohW,0,please pray puertorico   
86,aftershock,ethers,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/lRTLlbB9TV,1,puerto rico hit another  magnitude aftershock  kyma
87,aftershock,"Ковров, Россия",И снова о кризисе демографии (Yakov_Z) https://t.co/BlgYuNumDG,0,                             yakov_z 
88,aftershock,"Planet Eyal, Shandral System",Darkake(7 yeek possessor) was killed by possession aftershock on Ritches Tunnels 2. https://t.co/AZoiZicsDe,1,darkake yeek possessor killed possession aftershock ritches tunnel 
89,aftershock,no_location,Check out my latest video... SUPERZERO VOL. 1 - CLOSER LOOK https://t.co/T36KGXJdvY A closer look at SUPERZERO VOL. 1 by Am…,0,check latest video  superzero vol  closer look closer look superzero vol am 
90,aftershock,no_location,Might be a small aftershock. I didn't feel anything,0,might small aftershock feel anything
91,aftershock,"Brooklyn, NY","Stay informed, stay engaged with whats going on in #PuertoRico after the #earthquake The USGS’ 30-Day aftershock s… https://t.co/bYIBfpLHYg",0,stay informed stay engaged whats going puertorico earthquake usgs  day aftershock s 
92,aftershock,no_location,This isnt good. I feel for the people of Puerto Rico https://t.co/gZC7TYroxS,0,isnt good feel people puerto rico
93,aftershock,"Melbourne, Victoria","Aftershock Vapor 15 Pro Review – Aussie, Aussie, Aussie https://t.co/pWNq3VAr2r #PowerUpAU",0,aftershock vapor pro review  aussie aussie aussie powerupau
94,aftershock,no_location,Puerto Rico Worker explains Earthquake aftershock. Pleading to go viral https://t.co/hhfjQNLEt8 via,0,puerto rico worker explains earthquake aftershock pleading go viral via
95,aftershock,Piscataway land // DC,this is an unfathomable number. I lived through a large earthquake and we slept under the table for one terrible night…,0,unfathomable number lived large earthquake slept table one terrible night 
96,aftershock,DEPRESSED VIBES,nah I need calm down 💀 https://t.co/eOKphShN5R,0,nah need calm
97,aftershock,no_location,thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,thinking spat blood marilyn manson s set aftershock
98,aftershock,no_location,"If two quakes have about the same magnitude, you cannot say one is the other's preshock or aftershock. Only when one is obv…",0,two quake magnitude cannot say one other s preshock aftershock one obv 
99,aftershock,no_location,"An M4+~M5+ aftershock happens within 15 days after an M5+~M6+ main shock. If you can predict it, then you can say it is an…",1,  aftershock happens within day   main shock predict it say an 
100,aftershock,no_location,I don't think Silivri M4.8 is an aftershock of the Silivri M5.7 a few months ago. 😀 Quake professors always say such nonsen…,0,think silivri  aftershock silivri  month ago quake professor always say nonsen 
101,aftershock,"Bum Fuck, California",I think it’s an aftershock from ’s lyrical beat down. Brent never recovered.,0,think it s aftershock s lyrical beat down brent never recovered 
102,aftershock,no_location,Apex is all about separating from Monarch. They’re “separation. Well from my theory on how MechaGod… https://t.co/aBzDKqocPv,0,apex separating monarch they re separation well theory mechagod 
103,aftershock,"fresno, ca",thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,thinking spat blood marilyn manson s set aftershock
104,aftershock,no_location,Or sending my mate Simon to the bar and asking for a Guiness but ending up with a Carlsberg Export and a Mint After…,0,sending mate simon bar asking guiness ending carlsberg export mint after 
105,aftershock,no_location,#USGS #earthquake experts are in #PuertoRico installing temporary seismometers to help track seismic events including a Jan. 7 ma…,0, usgs earthquake expert puertorico installing temporary seismometers help track seismic event including jan ma 
106,aftershock,"Wilmington, NC- USA",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,1,puerto rico hit another  magnitude aftershock  kyma
107,aftershock,"Dream big ,NYC , FL\LA✈️✨💼😎","Over the weekend, Puerto Rico was struck by a 5.9 aftershock, causing more damage to homes and schools and leaving thou…",1,weekend puerto rico struck  aftershock causing damage home school leaving thou 
108,aftershock,DEPRESSED VIBES,How could you leave when I gave you my all 💔,0,could leave gave
109,aftershock,no_location,"For the full experience, start with this one, 1st in the series. Food was running low. To save the young, the governor…",0,full experience start one series food running low save young governor 
110,aftershock,NYC,The magnitude 5.9 quake in #PuertoRico this morning caused our 7-day aftershock forecast to change. We now estimate an increased…,1,magnitude  quake puertorico morning caused day aftershock forecast change estimate increased 
111,aftershock,10.28.33N  / 066.57.79W,We continue to update our 30-day aftershock forecast scenarios for #PuertoRico. Forecasts are posted in both English https://t.co…,0,continue update day aftershock forecast scenario puertorico forecast posted english
112,aftershock,"Texas, USA",Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…,1,another  aftershock hit puerto rico last night people cannot go home even one po 
113,aftershock,"St Augustine, FL",Aftershock comics. We prefer working in partnership with our creators to build out that team from the ground up.,0,aftershock comics prefer working partnership creator build team ground up 
114,aftershock,RVA✈️FLA,Did the other earthquake/aftershock mess up the power again?!,0,earthquake aftershock mess power again 
115,aftershock,PA,Aftershock forecast for Puerto Rico,0,aftershock forecast puerto rico
116,airplane%20accident,"California, USA",Like Iran shooting an airplane was an accident,1,like iran shooting airplane accident
117,airplane%20accident,no_location,Bing Bong Airplane Accident Remix,0,bing bong airplane accident remix
118,airplane%20accident,Inside my head,Morgan is surprised to see Shaun back at work already and offers her condolences on his dad. Shaun says the airplan… https://t.co/SXwRBa7hj5,0,morgan surprised see shaun back work already offer condolence dad shaun say airplan 
119,airplane%20accident,Australia,"That’s a load of rubbish, there was never an imminent threat, Jesus Christ!!!Iran sho… https://t.co/C815DfZF7C",0,that s load rubbish never imminent threat jesus christ  iran sho 
120,airplane%20accident,"Greenwich, CT","Actually, blocking the internet was just an accident. You know, just like when Iran shot down the Ukrainian airplane.",1,actually blocking internet accident know like iran shot ukrainian airplane 
121,airplane%20accident,"Michigan, USA",Conclusion 8 on previous page is incorrect IMHO. “The witness observations of a streak of light we… https://t.co/tz4Xv7uXCw,0,conclusion previous page incorrect imho  the witness observation streak light we 
122,airplane%20accident,Iran,"The celebrities in Iran that are very sadly about our compatriots that killed with downing UK airplane,not only di… https://t.co/CtjVwIcH2v",0,celebrity iran sadly compatriot killed downing uk airplane not di 
123,airplane%20accident,"Virginia, USA",So Iranian radars cannot tell the difference between an incoming missile and an out going Ukrainian airplane? What… https://t.co/hoeEJEUIHE,1,iranian radar cannot tell difference incoming missile going ukrainian airplane what 
124,airplane%20accident,West coast True north  i stan juggalos,"Had a look at your timeline, i see you hate my coun… https://t.co/30cMQ9gsPj",0,look timeline see hate coun 
125,airplane%20accident,no_location,"MILITARY MISTAKES, 1988 US-MILITARY SHOT DOWN AN IRANIAN PASSENGER AIRPLANE! 2020 IRANIAN MILITARY SHOT DOWN AN UKR… https://t.co/177gbnqiHt",1,military mistakes us military shot iranian passenger airplane iranian military shot ukr 
126,airplane%20accident,no_location,Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airplane U…,1,secret anti spying service middle east high alert demolition commercial airplane u 
127,airplane%20accident,هرجا که دلت باشد,"My friend i live here , believe me... Its our basic rights that know what happened… https://t.co/49nbXHuTfP",0,friend live  believe me  basic right know happened 
128,airplane%20accident,no_location,Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airpl… https://t.co/9pZViFDPkv,1,secret anti spying service middle east high alert demolition commercial airpl 
129,airplane%20accident,no_location,How is it that Iran fired between 12 and 20 surface to surface missiles...…..then FIRED A SURFACE TO AIR MISSILE AT… https://t.co/mpkttFCAFB,0,iran fired surface surface missiles   then fired surface air missile at 
130,airplane%20accident,no_location,"Basically, you killed the general, put the whole country into a confusing status, they shoot a civ… https://t.co/P1lKrqhP1Y",0,basically killed general put whole country confusing status shoot civ 
131,airplane%20accident,GOV of Georgia♥️ Janny Cares,"No, I was referring to the shooting down of the airplane. I really do…",0,no referring shooting airplane really do 
132,airplane%20accident,"Saskatchewan, Canada","No, I was referring to the shooting down of the airplane. I… https://t.co/xKVqRdtjhR",0,no referring shooting airplane i 
133,airplane%20accident,Canada,And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000 fee…,0,anyone belief incident accident idiot airplane approx fee 
134,airplane%20accident,no_location,And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000… https://t.co/axT3omjmE1,0,anyone belief incident accident idiot airplane approx 
135,airplane%20accident,"Port Charlotte, FL","Iran did not blow up an airplane by accident, they intended for it to be shot down! The accident is that it was a civilian aircraft!",1,iran blow airplane accident intended shot down accident civilian aircraft 
136,airplane%20accident,artemis,But... The airplane accident...,1,but  airplane accident  
137,airplane%20accident,no_location,"Mr M u hold p.Trump accountable for the airplane accident.we r very sad too,but pls don’t tweet abo… https://t.co/cqsMfVTLMW",0,mr u hold p trump accountable airplane accident we r sad too but pls don t tweet abo 
138,airplane%20accident,Nigeria,"Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, kidnap,…",0,dial toll free phone event wish report fire flood theft armed robbery kidnap 
139,airplane%20accident,"Ilawe-Ekiti, Nigeria","Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, k… https://t.co/1e2jgI6C8Q",0,dial toll free phone event wish report fire flood theft armed robbery k 
140,airplane%20accident,Florida,So Iran can shoot down a commercial airplane and claim it was an accident. Does ANYONE really believe that?!!! 😡😡😡😡,1,iran shoot commercial airplane claim accident anyone really believe that  
141,airplane%20accident,Calgary AB,You may be unaware that CND is currently in mourning. 57 Canadians were downed in an airplane by accident in Iran. Flag…,1,may unaware cnd currently mourning canadian downed airplane accident iran flag 
142,airplane%20accident,"Saskatchewan, Canada","Sorry for your loss, Iran should never have shot the airplane out of the sky. ‘accident’ they say",0,sorry loss iran never shot airplane sky  accident say
143,airplane%20accident,"Toronto, Ontario","It wasn't, Iranians knew when takeoff was happening &amp; they knew the airplane manufacturer was American.… https://t.co/9JNbfB0zWH",0,wasn t iranian knew takeoff happening amp knew airplane manufacturer american 
144,airplane%20accident,NYC,Mass anti-government protests erupt in Iran after leaders admit to shooting down airliner. Still cannot believe w… https://t.co/dweXwdLBGn,0,mass anti government protest erupt iran leader admit shooting airliner still cannot believe w 
145,airplane%20accident,New England,I read the whole thread. He’s blaming Trump for Iran shooting down an ai… https://t.co/evL7sdNw0Z,0,read whole thread he s blaming trump iran shooting ai 
146,airplane%20accident,Ontario,airplane accident answers. The US designated the Iranian government as terrorists and ha… https://t.co/7a2OgPYNiQ,0,airplane accident answers u designated iranian government terrorist ha 
147,airplane%20accident,State of Louisiana-great food,"Hey, got some swamp land for sale. You are either naive or just plain stupid! Which is it? Iran downing t… https://t.co/fu3cjJf1q8",0,hey got swamp land sale either naive plain stupid it iran downing t 
148,airplane%20accident,"Sachse, Texas","Perhaps prodded by others, Zelensky decides Ukraine has nothing to lose by piling onto Iran. Never seen so many op… https://t.co/bvZj33dZEp",0,perhaps prodded others zelensky decides ukraine nothing lose piling onto iran never seen many op 
149,airplane%20accident,no_location,"As a Canadian, I am very concerned. The airplane that was shot down by accident had 67 Canadians - many of Iranian…",0,canadian concerned airplane shot accident canadian  many iranian 
150,airplane%20accident,Waldo,Shooting an airplane down *by accident* is bullshit. Just like *accidental shootings* of firearms. Especially since… https://t.co/xKEYVGXFiQ,0,shooting airplane by accident bullshit like accidental shootings firearms especially since 
151,airplane%20accident,United States,"Odd, how the Iranians ACCIDENTALLY blew up the airplane after take off. Was someone just playing with… https://t.co/Y2Yx1gZ6hQ",0,odd iranian accidentally blew airplane take off someone playing with 
152,airplane%20accident,no_location,"As a Canadian, I am very concerned. The airplane that was shot down by accident had 67 Canadians - many… https://t.co/v8MsKmrLyB",0,canadian concerned airplane shot accident canadian  many 
153,airplane%20accident,United Kingdom,"And. No excuse for shooting down a commercial airplane with innocent civilians on. Oh! Sorry Jeremy, as you say, it was an…",0,and excuse shooting commercial airplane innocent civilian on oh sorry jeremy say an 
154,airplane%20accident,"Milwaukee, WI",You beat me to this response. You have to TRACK an airplane with a surface to air missile.…,0,beat response track airplane surface air missile 
155,airplane%20accident,"French River, Ontario, Canada","It is unimaginable to have 174 people gone in one ""accident."" How could anyone point a surface to air missile at a… https://t.co/7Abwo7HXuz",0,unimaginable people gone one accident  could anyone point surface air missile a 
156,airplane%20accident,"Siesta Key, FL","So it was just an accident that Iran rocketed an airplane, killing 180 people. And libs defending it like that’s ok b…",0,accident iran rocketed airplane killing people libs defending like that s ok b 
157,airplane%20accident,"Manchester, England","And. No excuse for shooting down a commercial airplane with innocent civilians on. Oh! Sorry Jeremy, as you say, it… https://t.co/gUkc4ToutN",0,and excuse shooting commercial airplane innocent civilian on oh sorry jeremy say it 
158,airplane%20accident,"New Jersey, USA",Well let’s see. We know so far the body count of demonstrators was over… https://t.co/sPpCsKbUq0,0,well let s see know far body count demonstrator over 
159,airplane%20accident,"Michigan, USA",You beat me to this response. You have to TRACK an airplane with a surface to air missi… https://t.co/RFyWvNqO2Z,0,beat response track airplane surface air missi 
